                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     15,                 3.6149,                 4.1938,                 3.4518,                  3.327,                  4.865,                 3.0877,                0.00035,                0.04216,                0.00022,                  6e-05,                 3.6402,                 4.9408,                 3.8466,                 3.3591,                  5.792,                  3.663,               0.008713,               0.008713,               0.008713
                     16,                 3.6512,                 4.1972,                 3.4154,                 3.3404,                 4.8971,                 3.0823,                0.00043,                0.06487,                0.00033,                 0.0001,                 3.5892,                 4.6681,                 3.5499,                 3.2929,                 5.4655,                 3.3804,               0.008614,               0.008614,               0.008614
                     17,                 3.6469,                 4.1023,                 3.3342,                 3.3627,                 4.7437,                  2.988,                0.00063,                 0.1041,                0.00082,                 0.0002,                 3.4866,                 4.4083,                 3.3527,                 3.1373,                 5.0922,                 3.0614,               0.008515,               0.008515,               0.008515
                     18,                 3.6093,                 3.9837,                 3.2434,                 3.2683,                 4.5983,                 2.8988,                0.00038,                0.05961,                0.00061,                0.00016,                 3.5833,                 4.8291,                 3.7812,                 3.3088,                 5.6821,                 3.6189,               0.008416,               0.008416,               0.008416
                     19,                 3.6098,                 4.0009,                 3.2384,                 3.2522,                 4.6679,                 2.8512,                0.00057,                 0.1019,                0.00186,                0.00036,                 3.4726,                 4.4879,                 3.2619,                 3.0974,                 5.1658,                 2.9254,               0.008317,               0.008317,               0.008317
                     20,                 3.6525,                 4.0564,                 3.2116,                 3.2476,                 4.6762,                 2.7861,                0.00074,                0.11714,                0.00156,                 0.0004,                 3.4331,                 4.3857,                  3.249,                 3.0742,                  4.997,                 2.8505,               0.008218,               0.008218,               0.008218
                     21,                 3.5616,                  4.076,                 3.1978,                 3.1147,                 4.5263,                  2.716,                0.00057,                0.08293,                0.00104,                0.00026,                 3.5135,                 4.5666,                 3.4337,                 3.1397,                 5.2451,                  3.085,               0.008119,               0.008119,               0.008119
                     22,                 3.4538,                 3.9529,                 3.1729,                 3.0751,                 4.5487,                 2.7353,                0.00042,                0.06997,                 0.0005,                0.00013,                 3.4985,                 4.6554,                 3.4541,                  3.174,                  5.471,                 3.2512,                0.00802,                0.00802,                0.00802
                     23,                 3.5053,                 3.8484,                 3.1217,                 3.1741,                 4.4611,                 2.6954,                0.00081,                0.13281,                0.00259,                0.00054,                 3.3599,                 4.1611,                 3.1768,                 3.0367,                 4.7923,                 2.7851,               0.007921,               0.007921,               0.007921
                     24,                 3.4424,                  3.941,                 3.1358,                 3.1343,                 4.4998,                 2.6918,                0.00079,                0.12139,                0.00233,                0.00052,                 3.3826,                 4.1538,                 3.1224,                 3.0146,                 4.8169,                 2.7049,               0.007822,               0.007822,               0.007822
                     25,                 3.4407,                 3.8849,                 3.0442,                 3.0731,                 4.4433,                 2.6158,                0.00086,                0.13826,                  0.002,                0.00047,                 3.3477,                 4.1272,                 3.0844,                 3.0013,                 4.7507,                 2.6932,               0.007723,               0.007723,               0.007723
                     26,                 3.5193,                 3.8904,                 3.1267,                 3.1201,                 4.4766,                 2.6793,                0.00082,                0.11991,                0.00119,                 0.0003,                 3.4213,                 4.3137,                 3.1577,                 3.0425,                 4.9502,                  2.847,               0.007624,               0.007624,               0.007624
                     27,                 3.4911,                 3.8447,                 3.0876,                 3.0765,                 4.4134,                 2.6204,                0.00097,                0.13539,                0.00237,                0.00053,                 3.3895,                  4.104,                 3.1033,                 3.0486,                 4.7488,                 2.7323,               0.007525,               0.007525,               0.007525
                     28,                 3.2896,                 3.8593,                 3.0412,                 2.9795,                 4.4191,                 2.6028,                0.00058,                0.10586,                0.00111,                0.00026,                 3.3837,                 4.3942,                 3.1575,                 2.9965,                 5.2482,                 2.8041,               0.007426,               0.007426,               0.007426
                     29,                 3.3666,                 3.8891,                 3.0798,                 3.0134,                 4.4095,                 2.5926,                0.00088,                0.11985,                0.00217,                0.00054,                 3.3532,                 4.2848,                 3.1372,                  2.997,                 4.9592,                 2.7087,               0.007327,               0.007327,               0.007327
